sec,nsec
8335,351344701
8335,361156069
8335,370967750
8335,380779587
8335,391587514
8335,401395445
8335,411208948
8335,421021827
8335,430844706
8335,441674664
8335,451486240
8335,461295890
8335,471105800
8335,480917481
8335,490727182
8335,501539172
8335,511352675
8335,521166856
8335,531045880
8335,540927717
8335,550804554
8335,561622949
8335,571437911
8335,581252040
8335,591062888
8335,600872120
8335,611692443
8335,621503499
8335,631312003
8335,641124100
8335,651012708
8335,660892253
8335,670762892
8335,681592381
8335,691408385
8335,701219909
8335,711037996
8335,720853948
8335,731667552
8335,741477826
8335,751287892
8335,761100354
8335,770913129
8335,780724966
8335,791533310
8335,801340876
8335,811156984
8335,820970123
8335,830778106
8335,841589157
8335,851400786
8335,861211894
8335,871021856
8335,880833797
8335,891646516
8335,901454863
8335,911264982
8335,921078329
8335,930902093
8335,940731482
8335,951545294
8335,961360673
8335,971171937
8335,980982837
8335,990793997
8336,001605413
8336,011622301
8336,021626846
8336,031627537
8336,041631977
8336,051636678
8336,061637472
8336,071637330
8336,081641093
8336,091644544
8336,101645286
8336,111647591
8336,121460314
8336,131270901
8336,141086071
8336,150894419
8336,161705991
8336,171517881
8336,181326072
8336,191134002
8336,200942350
8336,210757520
8336,221566749
8336,231376920
8336,241191048
8336,251028771
8336,260884514
8336,271698430
8336,281517090
8336,291330021
8336,301139045
8336,310953955
8336,320767772
8336,331580074
8336,341388161
8336,351196143
8336,361007199
8336,370867734
8336,381696598
8336,391507342
8336,401316522
8336,411135130
8336,420948217
8336,430782294
8336,441653710
8336,451468984
8336,461280353
8336,471089534
8336,480901371
8336,491711172
8336,501523687
8336,511338857
8336,521152673
8336,530966073
8336,540778118
8336,551585628
8336,561397257
8336,571211698
8336,581024004
8336,590835372
8336,601646737
8336,611461022
8336,621274890
8336,631083550
8336,640895387
8336,651706907
8336,661514317
8336,671323134
8336,681132575
8336,690940662
8336,700749374
8336,711559488
8336,721371534
8336,731184256
8336,741046353
8336,750861576
8336,761672263
8336,771485194
8336,781296875
8336,791105430
8336,800914090
8336,810734834
8336,821544375
8336,831353191
8336,841164299
8336,850977282
8336,860793338
8336,871605483
8336,881417320
8336,891228637
8336,901037505
8336,910848092
8336,921660342
8336,931491033
8336,941336151
8336,951149811
8336,961005762
8336,970829787
8336,981640891
8336,991452520
8337,001265607
8337,011281037
8337,021288915
8337,031291532
8337,040808526
8337,050813019
8337,060817147
8337,070833671
8337,080865194
8337,090877395
8337,100880794
8337,110887214
8337,121704828
8337,131029011
8337,140845014
8337,151653150
8337,161464674
8337,171276511
8337,181087931
8337,190895706
8337,201704258
8337,211522345
8337,221334599
8337,231142582
8337,240950408
8337,250780266
8337,261604391
8337,271416540
8337,281230044
8337,291041621
8337,300850072
8337,311663832
8337,321475721
8337,331287402
8337,341099656
8337,350907795
8337,361718951
8337,371530111
8337,381342469
8337,391150139
8337,400958070
8337,410772928
8337,421581324
8337,431395140
